Feature,Group,Pearson R Value,Pearson P Value,Significance for pearson,Spearman rho,Spearman P Value,Significance for spearman,Kendall Tau,Kendall P Value,Significance for kendalltau,Distance Correlation,Mutual Information
Blink Duration,High,0.03284622446007272,0.6744053940787497,Not Significant,0.02595213299094837,0.7399654149453051,Not Significant,0.017931140894917746,0.738900938275536,Not Significant,0.13307772694419648,0.06660016394221824
Blink Duration,Mid,-0.008306282019147106,0.8847530138580816,Not Significant,-0.016605701798022388,0.7719780565583474,Not Significant,-0.00943203567750566,0.811661092600378,Not Significant,0.08191587097411714,0.0
Blink Duration,Low,-0.226748800798495,0.0033061280722719677,Significant,-0.26603358275494854,0.0005315214787953567,Significant,-0.18426543390866326,0.000586391231726586,Significant,0.2538576090732622,0.0
Blink Frequency,High,-0.11555261256105386,0.1382040774718566,Not Significant,-0.10373767167821211,0.1834990634322587,Not Significant,-0.072611067607578,0.18545589184507927,Not Significant,0.14269864175422228,0.030803300483498663
Blink Frequency,Mid,-0.035330579756768885,0.5374266336728311,Not Significant,-0.03667219036740078,0.5220797049450772,Not Significant,-0.02576191912543146,0.5230068266936128,Not Significant,0.06923949989941665,0.0059849024475262524
Blink Frequency,Low,0.03495141718159179,0.6548379531905089,Not Significant,0.07243267299426166,0.3537205691567087,Not Significant,0.04838469196886813,0.3761748258747021,Not Significant,0.12874069610645716,0.14060207938352542
Blink Flurries,High,-0.09210697389850075,0.23789728789278836,Not Significant,-0.1282117406914921,0.09972015770433063,Significant,-0.09461786459424193,0.10400344717097182,Not Significant,0.1422604589129497,0.01810997809939785
Blink Flurries,Mid,-0.01818650460755704,0.7509555317835446,Not Significant,-0.04894074121725896,0.3928140577261665,Not Significant,-0.03814085267799304,0.3779761987621777,Not Significant,0.06874145616485541,0.012674025319140636
Blink Flurries,Low,-0.013853336136878058,0.8593925042827298,Not Significant,0.09574262257604274,0.2198010997075278,Not Significant,0.07105941257234338,0.2266521641024858,Not Significant,0.13342387474595,0.12961444464282712
Inter-blink intervals,High,0.12118992597151357,0.11985969613259696,Not Significant,0.1414537888802738,0.06908171647516462,Significant,0.09583366058124106,0.0748498511949776,Significant,0.1528575642016984,0.0
Inter-blink intervals,Mid,0.017623372550144095,0.7584242503285341,Not Significant,0.013812401945158473,0.8095263723529498,Not Significant,0.008018334779706215,0.8394719107658045,Not Significant,0.06414806687009494,0.012375809872096522
Inter-blink intervals,Low,-0.06610942856474714,0.39741303300629194,Not Significant,-0.051438636655719024,0.5104298706805543,Not Significant,-0.028810230708846377,0.5909145483247682,Not Significant,0.12794162929208383,0.09190819693440355
